region;nom-golf;numero-trou;par;hcp;sss-homme;sss-femme;slope-homme;slope-femme
Bretagne;Golf de Brest Les Abers;1;4;15;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;2;3;13;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;3;5;8;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;4;4;6;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;5;3;17;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;6;4;2;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;7;4;7;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;8;3;16;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;9;5;10;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;10;4;14;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;11;4;3;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;12;4;4;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;13;4;1;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;14;3;9;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;15;3;12;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;16;4;18;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;17;5;5;67.2;72.1;113;126
Bretagne;Golf de Brest Les Abers;18;4;11;67.2;72.1;113;126
Bretagne;Golf de Cornouaille;1;4;4;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;2;4;6;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;3;4;2;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;4;5;10;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;5;3;8;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;6;4;18;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;7;3;16;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;8;4;12;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;9;4;14;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;10;3;17;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;11;5;13;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;12;4;5;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;13;4;3;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;14;4;1;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;15;3;7;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;16;5;9;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;17;4;11;69.7;75.0;119;132
Bretagne;Golf de Cornouaille;18;4;15;69.7;75.0;119;132
Bretagne;Golf de Dinard;1;4;9;68.7;70.3;125;122
Bretagne;Golf de Dinard;2;4;1;68.7;70.3;125;122
Bretagne;Golf de Dinard;3;4;5;68.7;70.3;125;122
Bretagne;Golf de Dinard;4;5;15;68.7;70.3;125;122
