Golf;Ville;Département;Région;Architecte;Par Total;Nombre de Trous;Trou N°;Par du Trou;Index (HCP);Distance Noir (m);Distance Blanc (m);Distance Jaune (m);Distance Bleu (m);Distance Rouge (m);Slope Noir H;SSS Noir H;Slope Blanc H;SSS Blanc H;Slope Jaune H;SSS Jaune H;Slope Bleu H;SSS Bleu H;Slope Rouge H;SSS Rouge H;Slope Jaune F;SSS Jaune F;Slope Bleu F;SSS Bleu F;Slope Rouge F;SSS Rouge F;Distance Totale Noir (m);Distance Totale Blanc (m);Distance Totale Jaune (m);Distance Totale Bleu (m);Distance Totale Rouge (m)
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;1;4;11;395;370;345;310;295;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;2;4;3;430;405;380;340;325;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;3;5;13;530;500;470;425;410;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;4;4;7;410;385;360;320;305;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;5;4;1;440;415;390;350;335;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;6;4;9;385;360;335;300;285;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;7;3;17;185;170;155;135;125;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;8;4;5;415;390;365;325;310;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;9;5;15;520;490;460;415;400;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
Golf National - L'Albatros;Guyancourt;78 - Yvelines;Île-de-France;Hubert Chesneau / Robert von Hagge;72;18;10;3;16;175;160;145;130;120;155;76.9;155;73.8;141;71.6;135;68.9;134;68.1;155;78.3;148;75.1;141;74.2;6652;6155;5753;5211;5051
